Title,Artist,"Artist (Last, First)",Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Not Owned Reason,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,User Supplied Descriptor,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Previously Owned,Uploaded Image URL,Activities
Live,Albert Collins,"Collins, Albert",,,"[{""title"":""Albert Collins and Barrelhouse - Live"",""youtubeID"":""p-KI3B1t4MI""},{""title"":""Barrelhouse 'Blue River Rising'"",""youtubeID"":""ezEiPPqpNQQ""},{""title"":""Barrelhouse 'Blue River Rising'"",""youtubeID"":""ezEiPPqpNQQ""}]",,,,1979,,"[{""title"":""A1. Frosty"",""duration"":295},{""title"":""A2. Honey Hush"",""duration"":355},{""title"":""A3. I've Got A Mind To Travel"",""duration"":400},{""title"":""A4. Don't Loose Your Cool"",""duration"":335},{""title"":""B1. Blue River Rising"",""duration"":395},{""title"":""B2. Cock It On The Wall"",""duration"":190},{""title"":""B3. Conversation With Collins"",""duration"":580},{""title"":""B4. Keep Your Business Straight"",""duration"":215}]",,Blues,,,,,"Bass - Jan Willem Sligting,Alto Saxophone - Tony Vos,Guitar - John LaPorte,Guitar - Albert Collins,Vocals - Tineke Schoemaker,Piano - Han van Dam,Drums - Bob Dros,Vocals - Albert Collins,Guitar - Guus Laporte",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:22:29.436460971,,,,,,,,1053650,,0,0,https://i.discogs.com/KNO2e6qm6elt2DHVqZIuPM481Zgvrse4tx8Cj9pJB6E/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNTM2/NTAtMTU1NTg2MTYz/NC00ODU3LmpwZWc.jpeg,
Live,Serge Gainsbourg,"Gainsbourg, Serge",,,"[{""title"":""Serge Gainsbourg - Bonnie And Clyde (Live officiel Le Zénith de Gainsbourg 1989)"",""youtubeID"":""vn9JdXEZlL8""},{""title"":""Serge Gainsbourg - Harley David Son Of A Bitch (Live au Zénith de Paris 1988)"",""youtubeID"":""vt-quFhVzBw""},{""title"":""Serge Gainsbourg - Harley David Son Of A Bitch (Live au Zénith de Paris 1988)"",""youtubeID"":""vt-quFhVzBw""},{""title"":""Serge Gainsbourg - Initials B.B."",""youtubeID"":""BOyLzo873rQ""},{""title"":""SERGE GAINSBOURG - JE SUIS VENU TE DIRE ....   ( LIVE )"",""youtubeID"":""oExtEuPQnuM""},{""title"":""Serge Gainsbourg - La Javanaise Live au Zénith (1988)"",""youtubeID"":""TT6jibchW70""},{""title"":""Serge Gainsbourg - Love On The Beat"",""youtubeID"":""ESPQHdTM5KU""}]",,,,1986,,"[{""title"":""A1. Love On The Beat"",""duration"":638},{""title"":""A2. Initials BB"",""duration"":180},{""title"":""A3. Harley Davidson"",""duration"":166},{""title"":""A4. Sorry Angel"",""duration"":276},{""title"":""B1. Nazi Rock"",""duration"":211},{""title"":""B2. Ballade De Johnny-Jane"",""duration"":175},{""title"":""B3. Bonnie And Clyde"",""duration"":300},{""title"":""B4. Vieille Canaille = You Rascal You"",""duration"":175},{""title"":""B5. I'm The Boy"",""duration"":437},{""title"":""C1. Depression Au Dessus Du Jardin"",""duration"":142},{""title"":""C2. Lemon Incest"",""duration"":74},{""title"":""C3. Mickey Maousse"",""duration"":67},{""title"":""C4. My Lady Héroïne"",""duration"":189},{""title"":""C5. Je Suis Venu Te Dire Que Je M'en Vais"",""duration"":201},{""title"":""C6. L'eau À La Bouche"",""duration"":183},{""title"":""C7. Lola Rastaquouere"",""duration"":208},{""title"":""C8. Marilou Sous La Neige"",""duration"":191},{""title"":""D1. Harley David Son Of A Bitch"",""duration"":400},{""title"":""D2. La Javanaise"",""duration"":170},{""title"":""D3. Love On The Beat"",""duration"":597}]",,"Reggae,Rock,Funk / Soul,Pop",,,,,"Drums - Tony Smith (2),Bass - John K,Saxophone - Stan Harrison,Keyboards - Gary Georgett,Guitar - Billy Rush,Backing Vocals - George Simms,Backing Vocals - Steve Simms",,,,,,,,Album,,,,,,,,0042282672117,0,0.000000,,,,,,0,,,,,,2025/09/20 23:06:45.624964952,,,,,,,,636686,,0,0,https://i.discogs.com/Zf4Uv5Hr3RRHpNcSfA2JvaZ28rNwA-OTaec138nMjrk/rs:fit/g:sm/q:90/h:409/w:420/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYzNjY4/Ni0xMTQxNTk1MzE3/LmpwZWc.jpeg,
Live Johnny Winter And,Johnny Winter And,"And, Johnny Winter",,,"[{""title"":""\""It's My Own Fault\"" Johnny Winter And- live"",""youtubeID"":""HTWPijy9DcU""},{""title"":""It's My Own Fault (Live)"",""youtubeID"":""UBluGrmPNuc""},{""title"":""Johnny Winter And - Jumpin' Jack Flash (live)"",""youtubeID"":""EbPucX4Oj28""},{""title"":""J̤o̤H̤n̤n̤y̤ w̤i̤n̤t̤e̤r̤-a̤n̤d̤ l̤i̤v̤e̤ 1.970 U.S."",""youtubeID"":""u9eyO52QqvA""},{""title"":""Mean Town Blues (Live at the Fillmore East, NYC, NY - 1970)"",""youtubeID"":""hcazcCVq6fY""},{""title"":""Rock And Roll Medley (Live)"",""youtubeID"":""CLNMEjMl6P0""}]",,,,1976,,"[{""title"":""A1. Good Morning Little School Girl"",""duration"":275},{""title"":""A2. It's My Own Fault"",""duration"":734},{""title"":""A3. Jumpin' Jack Flash"",""duration"":266},{""title"":""Rock And Roll Medley"",""duration"":406},{""title"":""B1a. Great Balls Of Fire"",""duration"":0},{""title"":""B1b. Long Tall Sally"",""duration"":0},{""title"":""B1c. Whole Lotta Shakin' Goin' On"",""duration"":0},{""title"":""B2. Mean Town Blues"",""duration"":539},{""title"":""B3. Johnny B. Goode"",""duration"":202}]",,"Blues,Rock",,,,,"Percussion - Bobby Caldwell (2),Vocals - Rick Derringer,Bass - Randy Hobbs,Vocals - Randy Hobbs,Vocals - Johnny Winter,Guitar - Johnny Winter,Guitar - Rick Derringer",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:28:07.518550992,,,,,,,,1379977,,0,0,https://vinyl-records.nl/johnny-winter/and-and-live/johnny-winter-and-60.jpg,
Midnight Believer,B.B. King,"King, B.B.",,,"[{""youtubeID"":""GYcloNjcu1w"",""title"":""A FLG Maurepas upload - B.B. King - Midnight Believer""},{""youtubeID"":""GYcloNjcu1w"",""title"":""A FLG Maurepas upload - B.B. King - Midnight Believer""},{""youtubeID"":""s04V98qtJsg"",""title"":""A World Full Of Strangers""},{""youtubeID"":""s04V98qtJsg"",""title"":""A World Full Of Strangers""},{""youtubeID"":""-kQMVvgG73s"",""title"":""B.B. King - Midnight Believer (1978)""},{""youtubeID"":""-kQMVvgG73s"",""title"":""B.B. King - Midnight Believer (1978)""},{""youtubeID"":""zeVKApdjmK0"",""title"":""B.B. King - Midnight Believer \/ Take It Home | Review\/Test""},{""youtubeID"":""zeVKApdjmK0"",""title"":""B.B. King - Midnight Believer \/ Take It Home | Review\/Test""},{""youtubeID"":""U2-0bJTmytI"",""title"":""Let Me Make You Cry A Little Longer""},{""youtubeID"":""U2-0bJTmytI"",""title"":""Let Me Make You Cry A Little Longer""},{""youtubeID"":""eI6d3tWRYZg"",""title"":""When It All Comes Down (I'll Still Be Around)""},{""youtubeID"":""eI6d3tWRYZg"",""title"":""When It All Comes Down (I'll Still Be Around)""}]",MCA Records,,,1978,,"[{""duration"":252,""title"":""A1. When It All Comes Down (I'll Still Be Around)""},{""duration"":280,""title"":""A2. Midnight Believer""},{""duration"":285,""title"":""A3. I Just Can't Leave Your Love Alone""},{""duration"":251,""title"":""A4. Hold On (I Feel Our Love Is Changing)""},{""duration"":330,""title"":""B1. Never Make A Move Too Soon""},{""duration"":261,""title"":""B2. A World Full Of Strangers""},{""duration"":348,""title"":""B3. Let Me Make You Cry A Little Bit Longer""}]",,"Jazz,Rock,Blues",,,,,,,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 08:54:13.934098005,,,,,,,,942603,,0,0,https://i.discogs.com/2YDw7LWu_TqB6nmHopouhtO_Ioqn7lZD_4FfAfmMIKQ/rs:fit/g:sm/q:90/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk0MjYw/My0xMzA2ODQ4MDYz/LmpwZWc.jpeg,
Moanin' In The Moonlight,Howlin' Wolf,"Wolf, Howlin'",,,"[{""youtubeID"":""8LMQcqJK8Tc"",""title"":""All Night Boogie (All Night Long)""},{""youtubeID"":""gYvPG8UE7y0"",""title"":""Baby How Long""},{""youtubeID"":""fE-yuA4QuVI"",""title"":""Evil (Is Going On)""},{""youtubeID"":""peog80pRDps"",""title"":""Forty-Four""},{""youtubeID"":""YaUD6-XIFO0"",""title"":""How Many More Years""},{""youtubeID"":""mRlbgi82tss"",""title"":""Howlin' Wolf - Evil""},{""youtubeID"":""bvUCeQQSDhw"",""title"":""Howlin' Wolf - Moanin' at Midnight""},{""youtubeID"":""OSN3LiRz-Ik"",""title"":""Howlin' Wolf - Moanin' in the moonlight (full album)""},{""youtubeID"":""rMGvXoitlLI"",""title"":""Howlin' Wolf - Moaning at Midnight""},{""youtubeID"":""9Ri7TcukAJ8"",""title"":""Howlin' Wolf - Smokestack Lightnin'""},{""youtubeID"":""9b2erhwv7WA"",""title"":""I Asked For Water""},{""youtubeID"":""sMGf-Mxj-2M"",""title"":""I'm Leavin You""},{""youtubeID"":""I9lvpocL_20"",""title"":""Moanin' At Midnight""},{""youtubeID"":""Le7xP0g2AQY"",""title"":""Moanin' For My Baby""},{""youtubeID"":""cARvTTpuiwA"",""title"":""No Place To Go (You Gonna Wreck My Life)""},{""youtubeID"":""PnXTpkugcHo"",""title"":""Smokestack Lightnin'""},{""youtubeID"":""3iFxX_oi-UQ"",""title"":""Somebody In My Home""}]",,,,2016,,"[{""duration"":178,""title"":""A1. Moanin' At Midnight""},{""duration"":163,""title"":""A2. How Many More Years""},{""duration"":189,""title"":""A3. Smokestack Lightnin'""},{""duration"":175,""title"":""A4. Baby, How Long""},{""duration"":176,""title"":""A5. No Place To Go (You Gonna Break My Life)""},{""duration"":135,""title"":""A6. All Night Boogie""},{""duration"":184,""title"":""A7. Rockin' Daddy""},{""duration"":162,""title"":""A8. Going Back Home""},{""duration"":176,""title"":""B1. Evil (Is Goin' On)""},{""duration"":180,""title"":""B2. I'm Leavin' You""},{""duration"":170,""title"":""B3. Moanin' For My Baby""},{""duration"":172,""title"":""B4. I Asked For Water (She Gave Me Gasoline)""},{""duration"":169,""title"":""B5. Forty-Four""},{""duration"":147,""title"":""B6. Somebody In My Home""},{""duration"":194,""title"":""B7. I'll Be Around""},{""duration"":130,""title"":""B8. So Glad""}]",,Blues,,,,,"Guitar - L.D. McGhee,Piano - Otis Spann,Piano - Hosea Lee Kennard,Guitar - Lee Cooper (2),Piano - Ike Turner,Tenor Saxophone - Adolph ""Billy"" Duncan,Guitar - Hubert Sumlin,Guitar - Otis ""Smokey"" Smothers,Guitar - Willie Johnson (4),Guitar - Jody Williams,Drums - Earl Phillips,Vocals - Howlin' Wolf,Drums - S.P. Leary,Bass - Alfred Elkins,Harmonica - Howlin' Wolf,Tenor Saxophone - Abb Locke,Drums - Willie Steele,Bass - Willie Dixon",,,,,,,,Album,,,,,,,,8436544170411,0,0.000000,,,,,,0,,,,,,2025/09/20 09:21:14.156388044,,,,,,,,8677922,,0,0,https://i.discogs.com/5gLrLw5LzQgffcOUELKT2ifTUZXVl6qzv5XP8w6KAE4/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg2Nzc5/MjItMTY5NDUyMTcw/My0yMjkwLmpwZWc.jpeg,
Mona Bone Jakon,Cat Stevens,"Stevens, Cat",,,"[{""youtubeID"":""H1tRB7-aBr8"",""title"":""Cat Stevens - Trouble""},{""youtubeID"":""P6NY78V915c"",""title"":""Fill My Eyes (Remastered 2020)""},{""youtubeID"":""WL9Q9bLDgDg"",""title"":""I Think I See The Light (Remastered 2020)""},{""youtubeID"":""GyKyAMVuN_I"",""title"":""I Wish, I Wish (Remastered 2020)""},{""youtubeID"":""P-Je2pPqkpw"",""title"":""Katmandu (Remastered 2020)""},{""youtubeID"":""I7BGEf59xnw"",""title"":""Lady D'Arbanville (2020 Mix)""},{""youtubeID"":""qwp_8Rc0naM"",""title"":""Lilywhite - Cat Stevens""},{""youtubeID"":""7dNNPDhlEbo"",""title"":""Maybe You're Right (Remastered 2020)""},{""youtubeID"":""FQdwL9QcNUY"",""title"":""Mona Bone Jakon (Remastered 2020)""},{""youtubeID"":""dRubdDwlHrM"",""title"":""Pop Star - Cat Stevens""},{""youtubeID"":""MKRih940UXI"",""title"":""Time""},{""youtubeID"":""R2O3Se5024s"",""title"":""Trouble (Remastered 2020)""}]",,,,1970,,"[{""duration"":220,""title"":""A1. Lady D'Arbanville""},{""duration"":200,""title"":""A2. Maybe You're Right""},{""duration"":250,""title"":""A3. Pop Star""},{""duration"":240,""title"":""A4. I Think I See The Light""},{""duration"":170,""title"":""A5. Trouble""},{""duration"":98,""title"":""B1. Mona Bone Jakon""},{""duration"":225,""title"":""B2. I Wish, I Wish""},{""duration"":197,""title"":""B3. Katmandu""},{""duration"":86,""title"":""B4. Time""},{""duration"":178,""title"":""B5. Fill My Eyes""},{""duration"":220,""title"":""B6. Lilywhite""}]",,Rock,,,,,"Bass - John Ryan (27),Guitar - Alun Davies,Flute - Peter Gabriel,Percussion - Harvey Burns",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 09:32:57.525501966,,,,,,,,783758,,0,0,https://i.discogs.com/qySmXczXJKdmVHENUBmEj1uzGGeRcsOjlvXbvy8ndbk/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc4Mzc1/OC0xMTU5MDk1MDIz/LmpwZWc.jpeg,
Muchas Gracias: The Best Of Kyuss,Kyuss,Kyuss,,,"[{""youtubeID"":""o6WyVKf49Ng"",""title"":""50 Million Year Trip (Downside Up)""},{""youtubeID"":""HY2lyjMHVGA"",""title"":""A Day Early and a Dollar Extra""},{""youtubeID"":""JBc50VWJAis"",""title"":""Conan Troutman (Live) (Edit Version)""},{""youtubeID"":""uamm-QpF9Ro"",""title"":""Demon Cleaner (Best Of) (Edit)""},{""youtubeID"":""SFgS5OE4yNk"",""title"":""El Rodeo""},{""youtubeID"":""Io_Dx-AOq3g"",""title"":""Fatso Forgotso""},{""youtubeID"":""2JK3E0m1eTA"",""title"":""Flip the Phase""},{""youtubeID"":""UulTQLbgTD8"",""title"":""Freedom Run (Live)""},{""youtubeID"":""v6XXayLcF1Y"",""title"":""Gardenia (Live - Edit Version)""},{""youtubeID"":""Qod43CwgQcE"",""title"":""Hurricane""},{""youtubeID"":""2MuIh2Oaxoo"",""title"":""I'm Not""},{""youtubeID"":""UGhNdvkX4U4"",""title"":""Mudfly""},{""youtubeID"":""qVWIAoPVbUo"",""title"":""Shine""},{""youtubeID"":""Vgz35J-wiD8"",""title"":""Thumb (Live)""},{""youtubeID"":""ReBRmH6WmT8"",""title"":""Un Sandpiper""}]",,,,2022,,"[{""duration"":496,""title"":""A1. Un Sandpiper""},{""duration"":355,""title"":""A2. Shine""},{""duration"":345,""title"":""A3. 50 Million Year Trip (Downside Up)""},{""duration"":146,""title"":""A4. Mudfly""},{""duration"":320,""title"":""B1. Demon Cleaner""},{""duration"":137,""title"":""B2. A Day Early And A Dollar Extra""},{""duration"":270,""title"":""B3. I'm Not""},{""duration"":162,""title"":""B4. Hurricane""},{""duration"":136,""title"":""C1. Flip The Phase""},{""duration"":514,""title"":""C2. Fatso Forgotso""},{""duration"":336,""title"":""C3. El Rodeo""},{""duration"":406,""title"":""D1. Gardenia (Live)""},{""duration"":278,""title"":""D2. Thumb (Live)""},{""duration"":138,""title"":""D3. Conan Troutman (Live)""},{""duration"":474,""title"":""D4. Freedom Run (Live)""}]",,Rock,,,,,,,,,,,,,,,,,,,,,0081227883249,0,0.000000,,,,,,0,,,,,,2025/09/20 23:17:18.569648981,,,,,,,,25204654,,0,0,https://i.discogs.com/hqoE0Q0_rTBwUJEhOtt7aCC5t5AuxkzfvishJZY2wR0/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI1MjA0/NjU0LTE2NzQ0ODg4/ODUtNTM3Ni5qcGVn.jpeg,
"Muddy ""Mississippi"" Waters Live",Muddy Waters,"Waters, Muddy",,,"[{""youtubeID"":""fKUf4mnIyu8"",""title"":""Baby, Please Don't Go (Live)""},{""youtubeID"":""jdYvHyIUfYQ"",""title"":""Champagne & Reefer (Live)""},{""youtubeID"":""CQCNyBLTf7E"",""title"":""Deep Down in Florida (Live)""},{""youtubeID"":""P_4IkFQVNUM"",""title"":""Deep Down in Florida (Live)""},{""youtubeID"":""d9E_EtMwEeY"",""title"":""Everything's Gonna Be Alright (Live)""},{""youtubeID"":""KlbFmkKGsq4"",""title"":""Howling Wolf (Live)""},{""youtubeID"":""QQ5XMmV7-bY"",""title"":""Mannish Boy (Live)""},{""youtubeID"":""Yvu-A4ajqU8"",""title"":""She's Nineteen Years Old (Live)""},{""youtubeID"":""dQF8Bzoip0k"",""title"":""Streamline Woman (Live)""}]",,,,2015,,"[{""duration"":278,""title"":""A1. Mannish Boy""},{""duration"":306,""title"":""A2. She's Nineteen Years Old""},{""duration"":322,""title"":""A3. Nine Below Zero""},{""duration"":284,""title"":""A4. Streamline Woman""},{""duration"":363,""title"":""B1. Howlin' Wolf""},{""duration"":249,""title"":""B2. Baby Please Don't Go""},{""duration"":584,""title"":""B3. Deep Down In Florida""}]",,"Blues,Rock",,,,,"Drums - Willie Smith,Harmonica - James Cotton,Bass - Calvin Jones,Guitar - Muddy Waters,Guitar - Bob Margolin,Vocals - Muddy Waters,Guitar - Johnny Winter,Piano - Pinetop Perkins,Bass - Charles Calmese,Guitar - Luther ""Guitar Junior"" Johnson",,,,,,,,Album,,,,,,,,8718469537136,0,0.000000,,,,,,0,,,,,,2025/09/20 08:47:07.144217967,,,,,,,,6644140,,0,0,https://i.discogs.com/9DMpihSHlAhxuGqnwzn4lnBPoi3KL_40z9GgAfBPjDI/rs:fit/g:sm/q:90/h:600/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2NDQx/NDAtMTUzMTk2NDkz/Mi0zMDAzLmpwZWc.jpeg,
On The Level,Status Quo,"Quo, Status",,,"[{""youtubeID"":""lmhXM8--Y40"",""title"":""04 - Status Quo - Over And Done - On The Level""},{""youtubeID"":""d1gYJDQXPOk"",""title"":""Status Quo - Down down 1974 Video Sound HQ""},{""youtubeID"":""IErzKg7hl9U"",""title"":""Status Quo - On The Level (1975) Part 1 (Full Album)""}]",,,,1975,,"[{""duration"":185,""title"":""A1. Little Lady""},{""duration"":201,""title"":""A2. Most Of The Time""},{""duration"":235,""title"":""A3. I Saw The Light""},{""duration"":235,""title"":""A4. Over And Done""},{""duration"":232,""title"":""A5. Nightride""},{""duration"":324,""title"":""B1. Down Down""},{""duration"":253,""title"":""B2. Broken Man""},{""duration"":195,""title"":""B3. What To Do""},{""duration"":190,""title"":""B4. Where I Am""},{""duration"":275,""title"":""B5. Bye Bye Johnny""}]",,Rock,,,,,,,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:13:44.687620043,,,,,,,,956912,,0,0,https://i.discogs.com/ZQu3Jkcg6gKvEA74qoeQgm75SIPTgoie1Q7BIIBSCdA/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk1Njkx/Mi0xNzAyOTg3Nzc0/LTgzNjQuanBlZw.jpeg,
Pampered Menial,Pavlov's Dog,"Dog, Pavlov's",,,"[{""youtubeID"":""gMkAcgeLB6E"",""title"":""..:: Pavlov's Dog - Julia ::..""},{""youtubeID"":""0z5ys70L3lA"",""title"":""Episode""},{""youtubeID"":""_fNCBYOkETQ"",""title"":""Fast Gun""},{""youtubeID"":""RYKnNLWPZQk"",""title"":""Fast Gun""},{""youtubeID"":""Zl6FIMOnrNo"",""title"":""Julia""},{""youtubeID"":""NDG-aV67vhw"",""title"":""Julia""},{""youtubeID"":""n2JPFzX_j_Y"",""title"":""Late November""},{""youtubeID"":""DE-kdhvUCUg"",""title"":""Of Once And Future Kings""},{""youtubeID"":""lLuATzS-GfU"",""title"":""P̤a̤v̤l̤o̤v̤ ̤'̤s̤ ̤D̤o̤g̤-̤-Pampered  M̤e̤n̤i̤a̤l̤- Full Album 1976""},{""youtubeID"":""OejwvdsNE0Q"",""title"":""Pavlov's Dog - Late November""},{""youtubeID"":""OejwvdsNE0Q"",""title"":""Pavlov's Dog - Late November""},{""youtubeID"":""i2kGOQPFsI8"",""title"":""Pavlov's Dog - Song Dance (Pampered Menial), 1975, Vinyl video 4K, 24bit\/96kHz""},{""youtubeID"":""767QdWc-lv0"",""title"":""Pavlov’s Dog – Julia...yerdenizplak.com İstanbul Kadıköy""},{""youtubeID"":""767QdWc-lv0"",""title"":""Pavlov’s Dog – Julia...yerdenizplak.com İstanbul Kadıköy""},{""youtubeID"":""mHSnTCs4jH0"",""title"":""Pavlov's Dog ~•~ Julia HD 1080p""},{""youtubeID"":""0AK2iOeAoWE"",""title"":""Song Dance""},{""youtubeID"":""BNHt80VH-x0"",""title"":""Song Dance""},{""youtubeID"":""lDhkZXvBP74"",""title"":""Theme From Subway Sue""}]",,,,1975,,"[{""duration"":192,""title"":""A1. Julia""},{""duration"":193,""title"":""A2. Late November""},{""duration"":301,""title"":""A3. Song Dance""},{""duration"":184,""title"":""A4. Fast Gun""},{""duration"":223,""title"":""A5. Natchez Trace""},{""duration"":265,""title"":""B1. Theme From Subway Sue""},{""duration"":248,""title"":""B2. Episode""},{""duration"":97,""title"":""B3. Preludin""},{""duration"":332,""title"":""B4. Of Once And Future Kings""}]",,Rock,,,,,"Flute - Doug Rayburn,Violin - Siegfried Carver,Bass Guitar - Rick Stockton,Lead Guitar - Steve Scorfina,Viola - Siegfried Carver,Guitar - David Surkamp,Lead Vocals - David Surkamp,Percussion - Mike Safron,Keyboards - David Hamilton (8)",,,,,,,,Album,,,,,,,,,0,0.000000,,,,,,0,,,,,,2025/09/20 23:13:09.467267036,,,,,,,,2613759,,0,0,https://i.discogs.com/SUapyWLhWYpA4IpKCSQw7ts4J1LuvEhwXExnjT6P5t0/rs:fit/g:sm/q:90/h:600/w:596/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MTM3/NTktMTM4NzUwNjE5/NC05OTQxLmpwZWc.jpeg,
PeteStrumentals,Pete Rock,"Rock, Pete",,,"[{""youtubeID"":""4tY89H5TWPY"",""title"":""A Little Soul""},{""youtubeID"":""k3GIahxjWsA"",""title"":""Cake""},{""youtubeID"":""_OzJWF37wDE"",""title"":""For The People""},{""youtubeID"":""LTX09Y2C6Xs"",""title"":""Get Involved""},{""youtubeID"":""qreNiY9mork"",""title"":""Give It to Y'all""},{""youtubeID"":""Ev2d2Li0hLY"",""title"":""Hip Hopcrisy""},{""youtubeID"":""0py6LZpTrL4"",""title"":""Pete Rock - Nothin' Lesser Feat. The Un (Jamie's Mix) (Jamie's Mix)""},{""youtubeID"":""wV1RWQP-jXs"",""title"":""Pete Rock - PeteStrumentals [Full Album]""},{""youtubeID"":""obNA4iKBiC4"",""title"":""Pete Rock ‎– PeteStrumentals [FULL ALBUM]""},{""youtubeID"":""GJ8FhlPiPZo"",""title"":""Pete Rock – PeteStrumentals Mixed by DJ Stylez \/ recorded from OG Promo CD \/ 90´s Hip Hop Classics""},{""youtubeID"":""Ns2hOiSGe90"",""title"":""Pete's Jazz""},{""youtubeID"":""0b0eS9MIcEI"",""title"":""Play Dis Only At Night""},{""youtubeID"":""bSGBM-i67oc"",""title"":""Smooth Sailing""},{""youtubeID"":""fUTzpu4USOY"",""title"":""Something Funky""},{""youtubeID"":""-VAd1b4X1fs"",""title"":""The Boss""},{""youtubeID"":""4aatv0rsHkI"",""title"":""Walk On By""},{""youtubeID"":""PiGwWabvF-4"",""title"":""What You Waiting For""}]",,,,2001,,"[{""duration"":0,""title"":""A1. A Little Soul""},{""duration"":0,""title"":""A2. Play Dis Only At Night""},{""duration"":0,""title"":""A3. Something Funky""},{""duration"":0,""title"":""B1. For The People""},{""duration"":0,""title"":""B2. Hip Hopcrisy""},{""duration"":0,""title"":""B3. Smooth Sailing""},{""duration"":0,""title"":""B4. Pete's Jazz""},{""duration"":0,""title"":""C1. The Boss""},{""duration"":0,""title"":""C2. Get Involved""},{""duration"":0,""title"":""C3. Give It To Y'all""},{""duration"":0,""title"":""D1. Walk On By""},{""duration"":0,""title"":""D2. Cake""},{""duration"":0,""title"":""D3. What You Waiting For""},{""duration"":0,""title"":""D4. Nothin' Lesser - Jamie's Mix""}]",,Hip Hop,,,,,,,,,,,,,Album,,,,,,,,0801647120218,0,0.000000,,,,,,0,,,,,,2025/09/20 23:24:27.392773032,,,,,,,,15094,,0,0,https://i.discogs.com/sxyjWrxE9ujlrUhHX2Sj1i7oFYmW4rZOZEGktJOPV5g/rs:fit/g:sm/q:90/h:600/w:595/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MDk0/LTE0Mzk2MTY3Njct/NzYwMi5qcGVn.jpeg,
